STATION,NAME,DATE,TMAX,TMIN,TOBS
USC00051959,"CRESTED BUTTE, CO US",1/1/65,-5,-11.1,-10
USC00051959,"CRESTED BUTTE, CO US",1/2/65,-10,-29.4,-20
USC00051959,"CRESTED BUTTE, CO US",1/3/65,-6.7,-26.7,-12.8
USC00051959,"CRESTED BUTTE, CO US",1/4/65,-2.8,-15,-9.4
USC00051959,"CRESTED BUTTE, CO US",1/5/65,-3.9,-16.1,-5
USC00051959,"CRESTED BUTTE, CO US",1/6/65,-3.3,-16.1,-4.4
USC00051959,"CRESTED BUTTE, CO US",1/7/65,0,-7.8,-1.7
USC00051959,"CRESTED BUTTE, CO US",1/8/65,1.1,-8.9,-3.9
USC00051959,"CRESTED BUTTE, CO US",1/9/65,-3.3,-12.2,-4.4
USC00051959,"CRESTED BUTTE, CO US",1/10/65,-2.8,-22.2,-11.7
USC00051959,"CRESTED BUTTE, CO US",1/11/65,-3.9,-17.8,-5
USC00051959,"CRESTED BUTTE, CO US",1/12/65,-1.7,-9.4,-5
USC00051959,"CRESTED BUTTE, CO US",1/13/65,-1.7,-20.6,-2.8
USC00051959,"CRESTED BUTTE, CO US",1/14/65,1.1,-12.2,-0.6
USC00051959,"CRESTED BUTTE, CO US",1/15/65,1.1,-11.1,-5
USC00051959,"CRESTED BUTTE, CO US",1/16/65,-1.1,-18.9,-6.7
USC00051959,"CRESTED BUTTE, CO US",1/17/65,-0.6,-20,-8.3
USC00051959,"CRESTED BUTTE, CO US",1/18/65,-2.8,-23.9,-10
USC00051959,"CRESTED BUTTE, CO US",1/19/65,-2.2,-17.8,-7.8
USC00051959,"CRESTED BUTTE, CO US",1/20/65,0.6,-19.4,-3.9
USC00051959,"CRESTED BUTTE, CO US",1/21/65,-2.8,-16.1,-5
USC00051959,"CRESTED BUTTE, CO US",1/22/65,-4.4,-12.2,-10.6
USC00051959,"CRESTED BUTTE, CO US",1/23/65,-2.8,-15,-6.7
USC00051959,"CRESTED BUTTE, CO US",1/24/65,-1.7,-14.4,-2.2
USC00051959,"CRESTED BUTTE, CO US",1/25/65,-1.7,-11.7,-11.7
USC00051959,"CRESTED BUTTE, CO US",1/26/65,-8.9,-17.8,-12.2
USC00051959,"CRESTED BUTTE, CO US",1/27/65,-3.9,-22.2,-12.8
USC00051959,"CRESTED BUTTE, CO US",1/28/65,-3.9,-12.8,-5.6
USC00051959,"CRESTED BUTTE, CO US",1/29/65,0.6,-6.7,-1.7
USC00051959,"CRESTED BUTTE, CO US",1/30/65,2.8,-2.8,1.1
USC00051959,"CRESTED BUTTE, CO US",1/31/65,2.8,0,0.6
USC00051959,"CRESTED BUTTE, CO US",2/1/65,0.6,-10.6,-8.3
USC00051959,"CRESTED BUTTE, CO US",2/2/65,1.7,-22.2,-3.3
USC00051959,"CRESTED BUTTE, CO US",2/3/65,0.6,-18.3,-5.6
USC00051959,"CRESTED BUTTE, CO US",2/4/65,0.6,-18.9,-5.6
USC00051959,"CRESTED BUTTE, CO US",2/5/65,0.6,-18.9,-5
USC00051959,"CRESTED BUTTE, CO US",2/6/65,1.1,-11.1,-0.6
USC00051959,"CRESTED BUTTE, CO US",2/7/65,0.6,-10,-2.2
USC00051959,"CRESTED BUTTE, CO US",2/8/65,-1.1,-8.9,-3.9
USC00051959,"CRESTED BUTTE, CO US",2/9/65,-2.8,-17.2,-6.7
USC00051959,"CRESTED BUTTE, CO US",2/10/65,-6.1,-10.6,-10
USC00051959,"CRESTED BUTTE, CO US",2/11/65,-8.9,-21.1,-14.4
USC00051959,"CRESTED BUTTE, CO US",2/12/65,-12.2,-27.8,-15
USC00051959,"CRESTED BUTTE, CO US",2/13/65,-10.6,-32.2,-17.2
USC00051959,"CRESTED BUTTE, CO US",2/14/65,-7.2,-18.9,-10.6
USC00051959,"CRESTED BUTTE, CO US",2/15/65,-3.3,-21.1,-8.3
USC00051959,"CRESTED BUTTE, CO US",2/16/65,-7.2,-28.3,-12.2
USC00051959,"CRESTED BUTTE, CO US",2/17/65,-2.2,-23.9,-7.8
USC00051959,"CRESTED BUTTE, CO US",2/18/65,0,-21.7,-5
USC00051959,"CRESTED BUTTE, CO US",2/19/65,0,-20.6,-5.6
USC00051959,"CRESTED BUTTE, CO US",2/20/65,1.7,-18.9,-0.6
USC00051959,"CRESTED BUTTE, CO US",2/21/65,0,-20,-4.4
USC00051959,"CRESTED BUTTE, CO US",2/22/65,1.1,-11.7,-2.8
USC00051959,"CRESTED BUTTE, CO US",2/23/65,-2.2,-11.1,-9.4
USC00051959,"CRESTED BUTTE, CO US",2/24/65,-6.1,-22.2,-7.2
USC00051959,"CRESTED BUTTE, CO US",2/25/65,-2.2,-22.8,-6.1
USC00051959,"CRESTED BUTTE, CO US",2/26/65,0.6,-20,-4.4
USC00051959,"CRESTED BUTTE, CO US",2/27/65,2.2,-17.8,0
USC00051959,"CRESTED BUTTE, CO US",2/28/65,1.7,-7.2,-5
USC00051959,"CRESTED BUTTE, CO US",3/1/65,-4.4,-20,-9.4
USC00051959,"CRESTED BUTTE, CO US",3/2/65,-8.9,-28.3,-15
USC00051959,"CRESTED BUTTE, CO US",3/3/65,-11.7,-31.7,-13.9
USC00051959,"CRESTED BUTTE, CO US",3/4/65,-6.7,-28.9,-11.7
USC00051959,"CRESTED BUTTE, CO US",3/5/65,-2.2,-25.6,-8.3
USC00051959,"CRESTED BUTTE, CO US",3/6/65,1.7,-20.6,-3.3
USC00051959,"CRESTED BUTTE, CO US",3/7/65,1.1,-20.6,-2.2
USC00051959,"CRESTED BUTTE, CO US",3/8/65,1.1,-19.4,-3.9
USC00051959,"CRESTED BUTTE, CO US",3/9/65,1.7,-17.8,-1.1
USC00051959,"CRESTED BUTTE, CO US",3/10/65,0.6,-6.1,-2.2
USC00051959,"CRESTED BUTTE, CO US",3/11/65,1.1,-11.1,-2.2
USC00051959,"CRESTED BUTTE, CO US",3/12/65,1.7,-6.7,-2.8
USC00051959,"CRESTED BUTTE, CO US",3/13/65,2.2,-10,-3.9
USC00051959,"CRESTED BUTTE, CO US",3/14/65,1.1,-9.4,-1.7
USC00051959,"CRESTED BUTTE, CO US",3/15/65,2.8,-11.7,-2.8
USC00051959,"CRESTED BUTTE, CO US",3/16/65,0.6,-15.6,-1.1
USC00051959,"CRESTED BUTTE, CO US",3/17/65,-1.1,-6.7,-5.6
USC00051959,"CRESTED BUTTE, CO US",3/18/65,-5,-15,-8.9
USC00051959,"CRESTED BUTTE, CO US",3/19/65,-6.7,-20.6,-9.4
USC00051959,"CRESTED BUTTE, CO US",3/20/65,-5,-22.2,-6.7
USC00051959,"CRESTED BUTTE, CO US",3/21/65,1.7,-11.1,0.6
USC00051959,"CRESTED BUTTE, CO US",3/22/65,3.9,-8.9,1.7
USC00051959,"CRESTED BUTTE, CO US",3/23/65,2.2,-3.9,-2.2
USC00051959,"CRESTED BUTTE, CO US",3/24/65,0.6,-5.6,-3.9
USC00051959,"CRESTED BUTTE, CO US",3/25/65,-2.8,-13.3,-8.3
USC00051959,"CRESTED BUTTE, CO US",3/26/65,-2.2,-11.1,-2.8
USC00051959,"CRESTED BUTTE, CO US",3/27/65,2.8,-4.4,2.2
USC00051959,"CRESTED BUTTE, CO US",3/28/65,2.8,-5,1.1
USC00051959,"CRESTED BUTTE, CO US",3/29/65,6.7,-6.7,4.4
USC00051959,"CRESTED BUTTE, CO US",3/30/65,8.3,-12.2,3.3
USC00051959,"CRESTED BUTTE, CO US",3/31/65,7.8,-10.6,3.9
USC00051959,"CRESTED BUTTE, CO US",4/1/65,7.8,-7.8,1.7
USC00051959,"CRESTED BUTTE, CO US",4/2/65,8.3,-6.7,1.1
USC00051959,"CRESTED BUTTE, CO US",4/3/65,6.7,-7.2,0.6
USC00051959,"CRESTED BUTTE, CO US",4/4/65,3.3,-6.7,-1.7
USC00051959,"CRESTED BUTTE, CO US",4/5/65,1.7,-1.7,-1.1
USC00051959,"CRESTED BUTTE, CO US",4/6/65,6.1,-5.6,2.2
USC00051959,"CRESTED BUTTE, CO US",4/7/65,3.9,-6.7,0
USC00051959,"CRESTED BUTTE, CO US",4/8/65,6.7,-7.2,2.8
USC00051959,"CRESTED BUTTE, CO US",4/9/65,3.9,-1.7,0
USC00051959,"CRESTED BUTTE, CO US",4/10/65,1.1,-10,-4.4
USC00051959,"CRESTED BUTTE, CO US",4/11/65,-2.2,-10.6,-4.4
USC00051959,"CRESTED BUTTE, CO US",4/12/65,4.4,-15.6,3.9
USC00051959,"CRESTED BUTTE, CO US",4/13/65,5,-7.8,1.7
USC00051959,"CRESTED BUTTE, CO US",4/14/65,2.2,-11.7,-1.7
USC00051959,"CRESTED BUTTE, CO US",4/15/65,5,-12.8,3.3
USC00051959,"CRESTED BUTTE, CO US",4/16/65,7.8,-10.6,6.7
USC00051959,"CRESTED BUTTE, CO US",4/17/65,7.2,-7.2,6.1
USC00051959,"CRESTED BUTTE, CO US",4/18/65,6.7,0,3.3
USC00051959,"CRESTED BUTTE, CO US",4/19/65,8.9,-6.1,7.8
USC00051959,"CRESTED BUTTE, CO US",4/20/65,12.8,1.7,11.7
USC00051959,"CRESTED BUTTE, CO US",4/21/65,15,-2.8,12.8
USC00051959,"CRESTED BUTTE, CO US",4/22/65,14.4,-5,12.2
USC00051959,"CRESTED BUTTE, CO US",4/23/65,13.9,-3.3,8.9
USC00051959,"CRESTED BUTTE, CO US",4/24/65,9.4,-4.4,5
USC00051959,"CRESTED BUTTE, CO US",4/25/65,9.4,-7.2,7.2
USC00051959,"CRESTED BUTTE, CO US",4/26/65,8.3,-2.2,3.9
